problema,n,k,algoritmo,status,synthesis_time_ms,max_memory_mb,expanded_states,used_states,expanded_transitions,used_transitions,heuristic_time_ms
AT,1,15,PORGeneralizedController,OK,42,15.74,20,6,36,8,0
AT,2,11,MonolithicController,OK,18,13.91,242,211,721,287,0
AT,2,11,DirectedController,OK,219,12.11,23,23,33,33,15
AT,2,11,PORController,OK,413,73.04,259,63,729,99,0
AT,2,11,PORGeneralizedController,OK,153,12.31,137,63,370,99,0
AT,2,12,MonolithicController,OK,20,14.8,274,241,831,323,0
AT,2,12,DirectedController,OK,226,13.21,23,23,33,33,22
AT,2,12,PORController,OK,576,15.38,292,63,839,99,0
AT,2,12,PORGeneralizedController,OK,149,25.07,154,63,425,99,0
AT,2,13,MonolithicController,OK,23,15.46,308,273,949,361,0
BW,1,1,MonolithicController,OK,2,9.54,6,5,14,6,0
BW,1,1,DirectedController,OK,35,15.42,5,5,6,6,2
BW,1,1,PORController,OK,31,15.41,11,5,15,6,0
BW,1,1,PORGeneralizedController,OK,32,10.91,11,5,15,6,0
BW,1,2,MonolithicController,OK,5,9.54,8,7,19,9,0
BW,1,2,DirectedController,OK,36,15.41,5,5,6,6,1
BW,1,2,PORController,OK,36,15.43,15,5,22,6,0
BW,1,2,PORGeneralizedController,OK,38,10.93,15,5,22,6,0
BW,1,3,MonolithicController,OK,5,9.54,10,9,24,12,0
BW,1,3,DirectedController,OK,38,15.41,5,5,6,6,2
BW,1,3,PORController,OK,32,15.42,19,5,29,6,0
BW,1,3,PORGeneralizedController,OK,37,10.91,19,5,29,6,0
BW,1,4,MonolithicController,OK,3,9.55,12,11,29,15,0
BW,1,4,DirectedController,OK,40,15.7,5,5,6,6,1
BW,1,4,PORController,OK,40,15.41,23,5,36,6,0
